Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,14.23112951,16.98387718,19.23409454,21.24442478,24.59274596,28.45202841,31.62437041,32.37792668,32.91540593,36.58144583,43.62805738,41.00510413,35.68914348,34.83282337
Austria,59.74046339,59.06453,59.48475003,59.87523703,58.8963821,57.83640888,58.09461757,57.19053784,54.93621295,52.56690718,62.4781104,62.57157769,60.58469859,58.94823767
Belgium,85.76664647,88.46736956,88.96976759,89.6113317,90.03558277,88.82606755,89.15005173,86.98393439,84.9649278,82.84831494,93.36491965,90.39848011,86.35905026,87.22739936
Canada,44.07135929,44.95471694,45.27597128,42.58900132,40.57405441,43.16631339,42.87800507,41.28240093,39.64936764,39.08711369,60.60547789,56.59794933,50.50750207,49.91844703
Chile,8.607327438,11.12688905,11.93907307,12.7840642,15.01974805,17.37466028,21.1005045,23.6516389,25.79802758,28.32950531,32.38010064,36.42597043,37.79566466,39.41339585
Colombia,29.51877959,29.08909176,27.32837177,29.56935367,32.88504133,37.29930858,37.37581808,38.29219177,41.36218283,40.67864176,52.37701724,50.94821976,48.53281883,44.22256694
Costa Rica,28.08448667,29.50363618,33.75306756,35.09092804,37.48029923,39.77484866,43.78136012,46.78176155,51.58430114,56.08208082,66.92993981,67.74325356,63.06791267,61.17348115
Denmark,38.16522597,41.0289606,39.97483908,38.54023238,38.41320637,33.50833548,30.75435203,29.33405078,27.47689515,26.50441051,34.74621183,28.51092192,22.77376676,22.2710017
Estonia,3.362706989,3.290710399,10.90547417,11.05982937,11.31970254,10.97891221,10.93025074,9.996798641,9.319698274,9.71306235,18.4101416,17.84659551,18.92108942,19.98888607
Finland,50.11400903,51.93436297,57.6664992,60.55471537,64.45671034,68.33171701,68.023336,66.0434554,64.8431008,64.87713564,74.73848713,72.58481473,73.51197481,75.82504598
France,69.3559327,70.76061858,73.18746512,76.0676261,77.49973425,78.14549515,79.02591627,79.92401319,80.82607254,81.34949865,93.23326001,92.34397858,92.41603542,92.30494809
Germany,52.14319139,50.00330418,50.6455373,49.53972291,47.7713216,45.33547244,43.56275162,41.6720332,39.65294389,37.774797,44.84759367,46.42247992,45.81039566,44.89165672
Greece,151.8294337,180.9951591,162.1915049,178.7136461,182.879257,182.1932098,187.0309386,185.8097922,199.9071329,194.1750578,226.6485734,213.959534,193.7251307,184.5293292
Hungary,75.04717193,75.70233752,73.80917114,74.57939952,75.05424755,73.76669491,73.34315455,71.36369806,69.20589969,65.19206295,78.41910141,75.20911774,72.2255505,69.85465397
Iceland,130.0044558,135.6717161,131.6010906,120.1850015,114.85132,95.30895152,81.54917725,69.34486871,61.34657686,63.7635901,74.76500137,71.72222709,64.04801095,60.82145457
Ireland,89.6607742,113.0264948,122.3764442,121.0680232,105.1743007,77.00699744,75.66469041,68.31215074,69.28631612,63.43457832,63.86352526,58.92513999,49.05081236,49.80462107
Italy,112.0363692,112.6309314,119.432916,125.7207077,129.2175596,129.5131333,129.320548,129.0944019,129.7718019,129.6289439,149.8553452,141.544932,134.6515704,131.6948954
Japan,156.78317,168.3521125,176.7222552,183.2676627,186.435853,188.2476966,193.1151475,191.2609547,192.4217357,197.4618886,205.4994904,214.3262391,215.0387165,205.6138462
Latvia,38.98026756,37.55373956,35.8752042,35.57471292,38.14609553,34.233501,38.24126798,35.94284976,34.97588225,35.35845671,41.37814237,45.75531664,43.68001134,43.78682471
